そういう,連体詞,ソウイウ
こういう,連体詞,コウイウ
ああいう,連体詞,アアイウ
どういう,連体詞,ドウイウ
という,連体詞,トイウ
ていう,連体詞,テイウ
っていう,連体詞,ッテイウ
なんていう,連体詞,ナンテイウ
といった,連体詞,トイッタ
そういった,連体詞,ソウイッタ
そういうふうに,連体詞,ソウイウフウニ
こういうふうに,連体詞,コウイウフウニ
ああいうふうに,連体詞,アアイウフウニ
どういうふうに,連体詞,ドウイウフウニ
そうした,連体詞,ソウシタ
こうした,連体詞,コウシタ
ちょっとした,連体詞,チョットシタ
ふとした,連体詞,フトシタ
れっきとした,連体詞,レッキトシタ
他の,連体詞,タノ
当の,連体詞,トウノ
これらの,連体詞,コレラノ
それらの,連体詞,ソレラノ
あれらの,連体詞,アレラノ
なんらかの,連体詞,ナンラカノ
何らかの,連体詞,ナンラカノ
まさかの,連体詞,マサカノ
あまりの,連体詞,アマリノ
たっての,連体詞,タッテノ
しかるべき,連体詞,シカルベキ
然るべき,連体詞,シカルベキ
恐るべき,連体詞,オソルベキ
見知らぬ,連体詞,ミシラヌ
ありとあらゆる,連体詞,アリトアラユル
聖なる,連体詞,セイナル
確固たる,連体詞,カッコタル
最たる,連体詞,サイタル
主たる,連体詞,シュタル
何たる,連体詞,ナンタル
微々たる,連体詞,ビビタル
隠然たる,連体詞,インゼンタル
輝ける,連体詞,カガヤケル
そうゆう,連体詞,ソウユウ
かっこいい,形容詞,カッコイイ
カッコイイ,形容詞,カッコイイ
ひとつ,数詞,ヒトツ
一つ,数詞,ヒトツ
やれやれ,感動詞,ヤレヤレ
二度,名詞,ニド
ものか,名詞,モノカ
なし,名詞,ナシ
